sample_id,time,label,ecg_lead_segment_1,ecg_lead_segment_2,ecg_lead_segment_3,ecg_lead_segment_4,ecg_lead_segment_5,ecg_lead_segment_6
sample_002,9,ecg_class_negative,0.49995704,-1.1686368,-1.5094832,0.69988535,0.45875614,0.56678608
sample_002,10,ecg_class_negative,-0.022362533,-1.3639905,-1.3934261,0.73256075,0.60014556,0.60400236
sample_002,11,ecg_class_negative,-0.23531816,-1.3376111,-1.2328683,0.7716652,0.82513646,0.77706781
sample_002,12,ecg_class_negative,-0.11827251,-1.2612936,-1.0243483,0.73812943,0.80003425,0.81234542
sample_002,13,ecg_class_negative,-0.071027356,-1.4097822,-0.76864001,0.7236995,0.76282112,0.74884814
sample_002,14,ecg_class_negative,-0.32298644,-1.6345041,-0.51129373,0.80687593,0.75544283,0.81804204
sample_002,15,ecg_class_negative,-0.43356208,-1.7032377,-0.30956399,0.87898449,0.65376588,0.53934704
sample_003,0,ecg_class_negative,1.1688741,-0.062199969,-1.5017669,-0.71621062,0.31876371,0.099141394
sample_003,1,ecg_class_negative,2.0759008,-0.10072696,-1.6480837,-0.58176337,0.26371736,0.14693663
sample_003,2,ecg_class_negative,1.7601405,-0.23281819,-1.7058362,-0.44252605,0.28886308,0.13341444
sample_003,3,ecg_class_negative,1.6064459,-0.23446477,-1.6867905,-0.20704617,0.35824403,0.12529443
sample_003,4,ecg_class_negative,1.9490456,-0.21475573,-1.7057193,-0.026462658,0.32673714,0.20271343
sample_003,5,ecg_class_negative,1.3028421,-0.23041257,-1.7776833,0.11703627,0.22921539,0.18640913
sample_003,6,ecg_class_negative,0.45933154,-0.22755149,-1.8693132,0.22063662,0.20441776,0.41900645
sample_003,7,ecg_class_negative,0.51641212,-0.23100238,-1.8583761,0.26431516,0.24438588,0.72388755
sample_003,8,ecg_class_negative,0.85217953,-0.46347873,-1.7377167,0.40505498,0.26263199,1.3239469
sample_003,9,ecg_class_negative,0.98922717,-0.72421462,-1.7291486,0.46497434,0.24388475,2.1364876
sample_003,10,ecg_class_negative,0.82125349,-0.78788488,-1.7281054,0.43416264,0.22750228,1.7465965
sample_003,11,ecg_class_negative,0.57644764,-0.98668657,-1.5460373,0.4868072,0.24578495,1.4702205
sample_003,12,ecg_class_negative,0.74308944,-1.224672,-1.4591025,0.43938773,0.23295916,1.8935123
sample_003,13,ecg_class_negative,0.8529702,-1.2881418,-1.4107518,0.36961087,0.16461077,1.2569493
sample_003,14,ecg_class_negative,0.30745835,-1.3641481,-1.1634273,0.41314866,0.17153767,0.80040658
sample_003,15,ecg_class_negative,-0.13039065,-1.4282213,-0.90741874,0.3978947,0.16669037,0.73153981
sample_004,0,ecg_class_negative,1.2050062,-0.12141585,-1.3345034,-0.93434224,0.50474276,0.69257515
sample_004,1,ecg_class_negative,2.0318554,-0.35854858,-1.267791,-0.76519269,0.6440953,0.79444623
sample_004,2,ecg_class_negative,2.4472937,-0.73913476,-1.5021425,-0.31750385,0.5693421,0.89688657
sample_004,3,ecg_class_negative,2.7394479,-0.78765165,-1.6399716,-0.12712004,0.40637792,1.0514822
sample_004,4,ecg_class_negative,2.7458899,-0.70894109,-1.5339625,-0.12393914,0.45022584,0.9391156
sample_004,5,ecg_class_negative,2.2763553,-0.75975595,-1.566857,0.094417909,0.51752375,0.5557415
sample_004,6,ecg_class_negative,1.5253659,-0.74105769,-1.7309945,0.28842606,0.50276501,0.44731137
sample_004,7,ecg_class_negative,0.76059655,-0.88170685,-1.7196664,0.26134707,0.57193338,0.5646415
sample_004,8,ecg_class_negative,0.18844767,-1.018906,-1.6684945,0.28973234,0.63469281,0.48760026
sample_004,9,ecg_class_negative,-0.029051462,-0.58138267,-1.7355071,0.40727778,0.6493091,0.42100331
sample_004,10,ecg_class_negative,-0.049523678,-0.35899328,-1.6472869,0.43663741,0.70308117,0.54976604
sample_004,11,ecg_class_negative,-0.20996418,-0.92421814,-1.3875588,0.44930812,0.58769289,0.5054632
sample_004,12,ecg_class_negative,-0.37415034,-1.0948085,-1.3096055,0.57086672,0.355199,0.28184434
sample_004,13,ecg_class_negative,-0.24863758,-0.66136445,-1.3196536,0.71117799,0.39096336,0.34683145
sample_004,14,ecg_class_negative,-0.095016682,-0.78512404,-1.1003919,0.67270791,0.55882641,0.52637517
sample_004,15,ecg_class_negative,-0.099479162,-1.2881566,-0.90045831,0.50102225,0.6110082,0.22788969
sample_005,0,ecg_class_negative,0.59824137,-0.3234,-2.4026522,0.25792917,0.59543525,0.40649302
sample_005,1,ecg_class_negative,1.0987288,-0.6301811,-2.1440318,0.42929196,0.56873712,0.31572594
sample_005,2,ecg_class_negative,1.6835287,-0.56971894,-1.6618146,0.51751195,0.72196906,0.15547546
sample_005,3,ecg_class_negative,2.4789134,-0.70940747,-1.9393573,0.40467528,0.84312816,0.15012374
sample_005,4,ecg_class_negative,2.8024127,-0.75032305,-1.8722725,0.51198192,0.6168265,0.35439193
sample_005,5,ecg_class_negative,2.438696,-0.67332704,-1.5546911,0.57732858,0.60801778,0.37869259
sample_005,6,ecg_class_negative,1.7176569,-0.98010141,-1.3011939,0.52189259,0.77629989,0.39462999
sample_005,7,ecg_class_negative,1.0093086,-1.2071136,-1.0164506,0.55256222,0.61682123,0.5257822
sample_005,8,ecg_class_negative,0.25735084,-1.1813802,-0.97927654,0.60213932,0.59952044,0.279348
sample_005,9,ecg_class_negative,-0.22155853,-1.0263965,-0.70625453,0.54817524,0.68892604,-0.069657784
sample_005,10,ecg_class_negative,-0.13558175,-1.2994876,-0.30337161,0.41385248,0.5307274,0.027543961
sample_005,11,ecg_class_negative,-0.1912687,-1.9288823,-0.012646325,0.37404084,0.54462062,0.15302475
sample_005,12,ecg_class_negative,-0.30697176,-1.9076361,0.169673,0.51866444,0.65981978,0.042231911
sample_005,13,ecg_class_negative,-0.16764052,-1.8688252,0.091329657,0.55101816,0.56485534,0.13426885
sample_005,14,ecg_class_negative,-0.098005103,-1.9906124,0.25028041,0.41477723,0.47263422,0.29615038
sample_005,15,ecg_class_negative,-0.056259596,-2.0116357,0.38726526,0.48080068,0.45420433,0.06293182
sample_006,0,ecg_class_negative,0.50112303,0.35392528,-0.92543852,-1.4509832,0.35727159,0.65962871
sample_006,1,ecg_class_negative,0.72913063,-0.056939609,-0.92040642,-1.4278371,0.30529841,0.45889683
sample_006,2,ecg_class_negative,0.83374023,-0.27014949,-0.88177787,-1.4234267,0.3596797,0.42427792
sample_006,3,ecg_class_negative,1.2557705,-0.030288404,-0.94323662,-1.3124234,0.53631147,0.57514723
sample_006,4,ecg_class_negative,2.0013616,0.18392629,-1.2015819,-1.1325473,0.60598555,0.55918781
sample_006,5,ecg_class_negative,2.5040332,0.034146417,-1.4695271,-0.92964111,0.52141357,0.35328436
sample_006,6,ecg_class_negative,2.4541953,-0.18551869,-1.496398,-0.71796579,0.49248463,0.3580163
sample_006,7,ecg_class_negative,2.2203273,-0.1769411,-1.4124957,-0.53865342,0.56384421,0.60588882
sample_006,8,ecg_class_negative,2.1224353,-0.14088564,-1.56781,-0.41701616,0.5486995,0.71096266
sample_006,9,ecg_class_negative,1.9165236,-0.33827446,-1.9120904,-0.29451916,0.45977545,0.61971023
sample_006,10,ecg_class_negative,1.3821329,-0.56327929,-1.9972442,-0.13417765,0.53210383,0.56493009
sample_006,11,ecg_class_negative,0.73544948,-0.53183852,-1.7388993,-0.029799267,0.75307517,0.55611367
sample_006,12,ecg_class_negative,0.22085538,-0.39902793,-1.5818148,-0.047161714,0.84651787,0.56181896
sample_006,13,ecg_class_negative,-0.04881732,-0.47085456,-1.716598,-0.059706364,0.7551361,0.65818662
sample_006,14,ecg_class_negative,0.058893288,-0.69888015,-1.7979588,0.087574776,0.69976801,0.63971097
sample_006,15,ecg_class_negative,0.37064182,-0.86421976,-1.6296142,0.29597052,0.73676406,0.24261796
sample_007,0,ecg_class_negative,1.0880765,-1.3248416,-1.5075231,0.28884496,0.48674992,0.19750421
sample_007,1,ecg_class_negative,1.5640399,-1.3649445,-1.4002917,0.37561229,0.74087597,0.40071896
sample_007,2,ecg_class_negative,1.3688902,-1.3312292,-1.3866241,0.45706007,0.60662226,0.24904405
sample_007,3,ecg_class_negative,1.2501573,-1.356372,-1.2240926,0.24608338,0.64531556,0.20962139
sample_007,4,ecg_class_negative,1.4914982,-1.370512,-1.0355959,0.1670573,0.88255983,0.36496225
sample_007,5,ecg_class_negative,1.6825891,-1.3339249,-0.88889497,0.34107174,0.70573837,0.12984442
sample_007,6,ecg_class_negative,1.2269507,-1.3781622,-0.67086707,0.26229991,0.56069736,0.24432215
sample_007,7,ecg_class_negative,0.34396908,-1.3952861,-0.50035903,0.22048166,0.5381514,0.58525362
sample_007,8,ecg_class_negative,-0.33531682,-1.4009589,-0.30486991,0.36496225,0.42585609,0.54764375
sample_007,9,ecg_class_negative,-0.72931956,-1.4920148,-0.042425979,0.28835255,0.5963963,1.0933019
sample_007,10,ecg_class_negative,-0.94971983,-1.5029839,0.011476354,0.28827916,0.77936324,2.1507955
sample_007,11,ecg_class_negative,-1.0159285,-1.5535053,0.10149345,0.40272726,0.73281109,2.3850658
sample_007,12,ecg_class_negative,-1.0660428,-1.5988639,0.25839805,0.36496225,0.62376104,1.9938723
sample_007,13,ecg_class_negative,-1.1633754,-1.4645683,0.1373443,0.43108901,0.49063238,1.7602863
sample_007,14,ecg_class_negative,-1.2074661,-1.516411,0.10318456,0.47695407,0.43944916,1.2692178
sample_007,15,ecg_class_negative,-1.2347116,-1.6458347,0.25942847,0.34008248,0.25488385,0.39910334
sample_008,0,ecg_class_negative,0.5264121,-0.42163636,-1.6294781,-0.50146707,0.41527749,0.94054621
sample_008,1,ecg_class_negative,1.0079024,-0.38390173,-1.7536262,-0.45028828,0.5729076,1.0174775
sample_008,2,ecg_class_negative,1.7898944,-0.24369553,-1.8152875,-0.13146598,0.41172368,0.88870856
sample_008,3,ecg_class_negative,2.3580139,-0.29330432,-1.8171945,0.069685738,0.33065713,1.0290469
sample_008,4,ecg_class_negative,2.3014737,-0.59897814,-1.8183641,0.045052045,0.45350512,1.0391371
sample_008,5,ecg_class_negative,2.0870246,-0.79239756,-1.8307318,0.12483771,0.4586406,0.77887393
sample_008,6,ecg_class_negative,1.9675564,-0.79440992,-1.8100596,0.26294534,0.39882301,0.7795607
sample_008,7,ecg_class_negative,1.5140547,-0.74223293,-1.6991048,0.2428136,0.494015,0.85121082
sample_008,8,ecg_class_negative,0.75045389,-0.70061494,-1.54577,0.3090242,0.60765852,0.65955611
sample_008,9,ecg_class_negative,0.11539967,-0.84145907,-1.4566662,0.4591846,0.63189399,0.6312745
sample_008,10,ecg_class_negative,-0.22783536,-1.1115483,-1.4365454,0.29894485,0.59523745,0.83081463
sample_008,11,ecg_class_negative,-0.20111247,-1.189314,-1.4095046,0.096622746,0.53274663,0.82709376
sample_008,12,ecg_class_negative,0.0014060274,-1.172079,-1.2618154,0.32105926,0.60443758,0.73991266
sample_008,13,ecg_class_negative,-0.090393416,-1.3321921,-0.91441063,0.55117831,0.68789901,0.82409383
sample_008,14,ecg_class_negative,-0.36348937,-1.5125598,-0.52657305,0.35607157,0.54608739,0.80693862
sample_008,15,ecg_class_negative,-0.43495219,-1.560419,-0.39644392,0.19536367,0.58014005,0.49505124
sample_009,0,ecg_class_negative,1.3510633,-1.8713879,1.1532698,0.39732821,0.062631029,0.40506216
sample_009,1,ecg_class_negative,2.8253475,-1.8084146,1.3466296,0.27774806,-0.15101682,0.19951882
sample_009,2,ecg_class_negative,2.6405387,-1.9634411,1.5805981,0.3563615,0.016422729,0.29168416
sample_009,3,ecg_class_negative,1.2185972,-1.8674521,1.6579084,0.22353753,0.032865136,-0.027799432
sample_009,4,ecg_class_negative,-0.056741817,-1.9725184,1.5706004,0.218878,-0.14212168,-0.19868525
sample_009,5,ecg_class_negative,1.1969525,-1.974003,1.4357052,0.21645073,-0.043954713,-0.17073811
sample_009,6,ecg_class_negative,0.72468158,-1.8118577,1.3710045,0.22628126,0.0019502207,-0.28446251
sample_009,7,ecg_class_negative,0.96665163,-1.7760929,1.1873345,0.051749369,-0.023239864,-0.15061437
sample_009,8,ecg_class_negative,0.54982412,-1.6584819,0.97515895,0.057490234,-0.043992575,-0.26200415
sample_009,9,ecg_class_negative,-0.98860325,-1.5790928,0.90662467,0.14059423,0.028251186,-0.22242406
sample_009,10,ecg_class_negative,-1.0896612,-1.2089554,0.80631102,0.0081304607,-0.037340248,-0.27178308
sample_009,11,ecg_class_negative,-1.3796467,-0.95651798,0.79696583,-0.013382516,-0.011156313,-0.065167955
sample_009,12,ecg_class_negative,-1.4933006,-0.57893192,0.60693675,0.042685178,0.0041186808,-0.15399404
sample_009,13,ecg_class_negative,-1.5358864,0.0091407399,0.64409607,0.062064605,0.0062360765,-0.099545425
sample_009,14,ecg_class_negative,-1.6085794,0.41393379,0.43638846,-0.057979348,0.22729099,-0.072254718
sample_009,15,ecg_class_negative,-1.7979364,0.79693596,0.4173406,-0.05566184,0.37901905,0.015932976
sample_010,0,ecg_class_negative,0.20303954,-0.59821278,-0.63091696,-0.9906629,0.51372922,0.25209581
sample_010,1,ecg_class_negative,0.4620785,-0.46744349,-0.41757296,-0.86473975,0.43557245,0.43315453
sample_010,2,ecg_class_negative,0.74836772,-0.54607648,-0.83858138,-0.66534071,0.41166962,0.35764047
sample_010,3,ecg_class_negative,0.99695917,-0.69481032,-1.1334201,-0.53173869,0.50660284,0.17873833
sample_010,4,ecg_class_negative,0.99855221,-0.85633856,-0.92595138,-0.4564117,0.4346806,0.37737192
sample_010,5,ecg_class_negative,0.84949403,-0.90661027,-0.8273845,-0.29351677,0.21509747,0.5720518
sample_010,6,ecg_class_negative,0.87570482,-0.85141067,-1.096835,-0.048334569,0.2123013,0.49869164
sample_010,7,ecg_class_negative,1.0092909,-0.7671981,-1.2912432,0.1432135,0.38697442,0.74312635
sample_010,8,ecg_class_negative,0.80806681,-0.50010025,-1.383113,0.2684479,0.33385625,1.3640378
sample_010,9,ecg_class_negative,0.16128675,-0.2679663,-1.6018684,0.37448588,0.11874715,1.9802452
sample_010,10,ecg_class_negative,-0.41905794,-0.61161333,-1.6551462,0.43712032,0.19977383,2.7125249
sample_010,11,ecg_class_negative,-0.45015898,-1.1419276,-1.4481861,0.52029813,0.47825397,3.2698816
sample_010,12,ecg_class_negative,-0.21226069,-1.1068337,-1.4093576,0.64595463,0.52159962,3.070404
sample_010,13,ecg_class_negative,-0.33518908,-0.91681409,-1.5045071,0.62296152,0.41185944,2.5160159
sample_010,14,ecg_class_negative,-0.74453609,-1.1133568,-1.3606741,0.47560443,0.33925708,1.9308803
sample_010,15,ecg_class_negative,-0.84187552,-1.1243013,-1.1107051,0.46532114,0.2328307,0.88438617
sample_011,0,ecg_class_negative,2.0412979,-1.7475462,0.55780729,0.49854746,0.4398919,-0.05769818
sample_011,1,ecg_class_negative,2.0215905,-1.7957816,0.66172383,0.45849862,0.17818583,-0.060419021
sample_011,2,ecg_class_negative,1.9258954,-1.8923593,0.74204524,0.38337416,0.067928638,-0.057214332
sample_011,3,ecg_class_negative,2.3343605,-1.8622911,0.7688022,0.4624378,-0.042475807,-0.11642003
sample_011,4,ecg_class_negative,1.1738737,-2.0314748,0.88773093,0.52128288,-0.0067941907,-0.024918867
sample_011,5,ecg_class_negative,-0.45254768,-2.0181803,0.93061314,0.54289555,0.015047884,0.088910345
sample_011,6,ecg_class_negative,-0.72808871,-1.8818739,0.89278808,0.70444864,-0.049013166,0.11528339
sample_011,7,ecg_class_negative,-0.97286861,-1.8788136,0.82587454,0.81086868,-0.094703985,0.066654186
sample_011,8,ecg_class_negative,-1.1330444,-1.7021406,0.71323405,0.84128969,-0.1140152,0.10396027
sample_011,9,ecg_class_negative,-1.3083921,-1.638922,0.63487012,0.85245267,-0.0011615384,0.23877021
sample_011,10,ecg_class_negative,-1.4269104,-1.3705513,0.58140712,0.69108352,-0.0838521,0.30620836
sample_011,11,ecg_class_negative,-1.3777995,-1.074531,0.55860979,0.74737044,-0.093966707,0.33757239
sample_011,12,ecg_class_negative,-1.4946452,-0.77577882,0.51887426,0.7926625,-0.078748905,0.75526593
sample_011,13,ecg_class_negative,-1.6391585,-0.325801,0.54622788,0.82489155,0.00019599784,0.86793768
sample_011,14,ecg_class_negative,-1.6507469,0.10598077,0.46277437,0.73355633,-0.0877118,0.83823445
sample_011,15,ecg_class_negative,-1.63712,0.41984097,0.38710092,0.54221106,-0.09344386,1.3586827
sample_012,0,ecg_class_negative,0.31421954,-0.095147651,-1.311662,-0.94570387,0.74428084,0.96538322
sample_012,1,ecg_class_negative,0.78106253,0.067183123,-1.4525965,-0.6480925,0.74381857,0.89002952
sample_012,2,ecg_class_negative,1.2049684,0.044738707,-1.6413078,-0.46395201,0.66879431,0.90713135
sample_012,3,ecg_class_negative,1.5346969,-0.19239807,-1.7848404,-0.44029382,0.67557652,0.95208708
sample_012,4,ecg_class_negative,1.8773314,-0.52251979,-1.8723492,-0.37801159,0.72364773,0.7811642
sample_012,5,ecg_class_negative,2.1582136,-0.75271166,-1.8906598,-0.17973792,0.72221816,0.6401907
sample_012,6,ecg_class_negative,2.1029722,-0.7633734,-1.7787761,0.068041623,0.77217538,0.71962299
sample_012,7,ecg_class_negative,1.6779094,-0.67793966,-1.7101998,0.1697713,0.8871881,0.69281771
sample_012,8,ecg_class_negative,1.1686752,-0.70799498,-1.8413478,0.13236052,0.88714718,0.53890721
sample_012,9,ecg_class_negative,0.68953902,-0.83776254,-1.8897977,0.20540715,0.77645149,0.61208345
sample_012,10,ecg_class_negative,0.16295673,-0.89701391,-1.725754,0.39916148,0.76292721,0.73607727
sample_012,11,ecg_class_negative,-0.22586798,-0.89567536,-1.6544786,0.49643003,0.81154604,0.57119883
sample_012,12,ecg_class_negative,-0.26498096,-0.9626454,-1.6172059,0.51251997,0.68923001,0.44656844
sample_012,13,ecg_class_negative,-0.17853669,-1.0852043,-1.3332645,0.56105279,0.48300041,0.67154941
sample_012,14,ecg_class_negative,-0.21714779,-1.1786837,-1.0711115,0.60312536,0.5368841,0.78798188
sample_012,15,ecg_class_negative,-0.2391025,-1.2381379,-1.053257,0.6565219,0.82934108,0.40136535
sample_013,0,ecg_class_positive,0.1476469,-1.0326988,0.52586518,1.0846257,0.53559788,-0.38663674
sample_013,1,ecg_class_positive,0.8046684,-1.4239179,0.24477767,1.0573685,0.90070837,-0.50751228
sample_013,2,ecg_class_positive,0.36777149,-1.7824333,0.67993176,0.50308411,0.65684587,-0.7166559
sample_013,3,ecg_class_positive,0.24389371,-1.0251257,0.9286012,0.95328821,0.69003294,-0.46375771
sample_013,4,ecg_class_positive,0.026613882,-1.7989086,0.57304095,0.45419824,0.9525963,-0.46044227
sample_013,5,ecg_class_positive,-0.27440211,-1.7936136,1.2316066,1.1989698,0.54776991,-0.77079245
sample_013,6,ecg_class_positive,0.096730583,-1.0854783,1.0433243,0.84971989,-0.16769268,-0.53350348
sample_013,7,ecg_class_positive,-0.74773064,-1.5743899,1.5802281,-0.13771474,0.011531941,-0.4002281
sample_013,8,ecg_class_positive,-1.6097771,-1.0360595,1.2905714,0.63112045,-0.17648785,0.17608413
sample_013,9,ecg_class_positive,-1.1795931,-2.130021,0.75051788,0.69407501,-0.27770647,1.111768
sample_013,10,ecg_class_positive,-1.0559264,-2.0386213,0.97756667,0.51507095,-0.22483592,2.4384282
sample_013,11,ecg_class_positive,-1.1287774,-0.05501273,1.1415881,0.5592294,-0.91072293,2.7348886
sample_013,12,ecg_class_positive,-0.68603867,-1.1401949,1.5299044,0.555712,-0.037931787,1.7360544
sample_013,13,ecg_class_positive,-0.79878866,-0.70427521,0.84768163,0.46969403,0.071667671,0.036856551
sample_013,14,ecg_class_positive,-1.7142791,0.048723084,0.7667604,0.38882121,-1.0489198,-1.2650744
sample_013,15,ecg_class_positive,-1.6498584,-0.47585411,0.56568218,0.34312937,-0.63621758,-0.20802439
sample_014,0,ecg_class_positive,0.64865752,-0.87096235,-1.9257132,0.77949209,0.32144799,-0.033206288
sample_014,1,ecg_class_positive,0.75202595,-1.060217,-1.8336293,0.743938,0.32551344,-0.11426641
sample_014,2,ecg_class_positive,2.6362312,-1.1979584,-1.6618298,0.67335291,0.25125875,0.12034538
sample_014,3,ecg_class_positive,3.4557156,-0.98160194,-1.3425104,0.50527636,0.2705711,-0.22010169
sample_014,4,ecg_class_positive,2.1181574,-1.2724972,-1.0113174,0.66254685,0.27716131,-0.15122608
sample_014,5,ecg_class_positive,0.52062024,-1.2873802,-0.67271665,0.60770289,0.15517117,-0.077444659
sample_014,6,ecg_class_positive,-0.18862656,-1.2766979,-0.21615671,0.54610457,0.12095431,-0.097868776
sample_014,7,ecg_class_positive,0.78081841,-1.5397017,0.052871572,0.68716257,0.32639509,-0.13678697
sample_014,8,ecg_class_positive,0.93377469,-1.3466101,0.56208966,0.54300417,0.47395183,-0.34023669
sample_014,9,ecg_class_positive,0.70140202,-1.5352169,0.70087985,0.45314766,0.59473611,-0.089441428
sample_014,10,ecg_class_positive,1.006133,-1.7634184,0.94692677,0.48578457,0.69819946,-0.080297278
sample_014,11,ecg_class_positive,0.39578379,-1.6888209,1.0049973,0.44067902,0.82678088,-0.19258444
sample_014,12,ecg_class_positive,-0.36970304,-1.8093685,1.0275423,0.53915332,0.57516625,-0.30470444
sample_014,13,ecg_class_positive,-0.73820206,-1.8638914,1.1916636,0.36957146,0.40119607,-0.45455625
sample_014,14,ecg_class_positive,-0.72908415,-1.9944534,0.96885533,0.37731573,0.34996612,0.31459
sample_014,15,ecg_class_positive,-0.90693968,-1.8898102,0.84461754,0.47011338,0.14805279,0.5821895
sample_015,0,ecg_class_positive,0.40473265,-1.1902833,-1.9333433,0.6498631,0.64016663,0.44632254
sample_015,1,ecg_class_positive,1.2808587,-1.0112698,-1.4896118,0.63881629,0.59131589,0.6206822
sample_015,2,ecg_class_positive,2.5151479,-2.0039201,-1.1507331,0.67025023,0.43168075,0.049713371
sample_015,3,ecg_class_positive,1.2995187,-1.3270367,-1.0781561,1.0374359,0.71749974,0.2698563
sample_015,4,ecg_class_positive,1.4534323,-0.97603428,-0.77372316,0.43305326,0.59541636,0.41891845
sample_015,5,ecg_class_positive,0.47427508,-1.8636169,-0.5202207,0.65715862,0.45848779,-0.064345669
sample_015,6,ecg_class_positive,-1.3965619,-1.4876914,-0.20525277,0.52901327,0.48356648,0.37646912
sample_015,7,ecg_class_positive,-0.64708079,-1.6161399,-0.026608191,0.56207051,0.65571268,0.27781111
sample_015,8,ecg_class_positive,0.4319451,-1.9575634,0.29905385,1.0283513,0.49079447,0.22567582
sample_015,9,ecg_class_positive,0.13244512,-1.7006637,0.19431966,-0.019686467,1.0668703,0.15909081
sample_015,10,ecg_class_positive,-0.40660902,-1.5184788,0.70179318,1.1777618,0.92914878,0.40835397
sample_015,11,ecg_class_positive,0.23056633,-1.8975843,0.67189094,0.84790423,0.93902615,0.54001519
sample_015,12,ecg_class_positive,-0.12135267,-2.1771748,0.85378659,0.16943202,1.3121779,-0.027791159
sample_015,13,ecg_class_positive,-0.9186398,-1.8727894,0.67685205,0.67343368,0.58060433,0.20347623
sample_015,14,ecg_class_positive,-1.2467709,-1.7752905,0.89891601,0.6352647,0.57095928,0.34696389
sample_015,15,ecg_class_positive,-1.3483736,-1.6681586,0.77225822,0.74822003,0.52277452,0.33918469
sample_016,0,ecg_class_positive,0.32800826,-1.2032956,-1.8145649,0.78688814,0.77200739,0.0041582105
sample_016,1,ecg_class_positive,1.2102222,-1.3401393,-1.5073572,1.0158116,0.41966977,0.18873901
sample_016,2,ecg_class_positive,2.5976534,-1.3715076,-0.99970388,0.78087507,0.63479984,0.35839279
sample_016,3,ecg_class_positive,2.2107785,-1.1738752,-1.0499143,0.80101238,0.53577461,-0.16948401
sample_016,4,ecg_class_positive,1.6216664,-1.4189553,-0.51484779,0.65621393,0.32129593,0.31336029
sample_016,5,ecg_class_positive,-0.23932105,-1.5592412,-0.29834696,0.6961819,0.48255678,0.12599111
sample_016,6,ecg_class_positive,-1.5987116,-1.3084412,0.12887592,0.67790021,0.57630614,-0.046115194
sample_016,7,ecg_class_positive,-0.60213646,-1.8123748,0.37943089,0.90150874,0.28996466,0.099801472
sample_016,8,ecg_class_positive,-0.08660337,-1.699133,0.47460243,0.65491565,0.68976896,-0.05288849
sample_016,9,ecg_class_positive,0.026581391,-1.5041931,0.60646546,0.81448478,0.85559866,0.11905553
sample_016,10,ecg_class_positive,-0.30304941,-2.0016292,1.0355295,0.85914247,0.75653094,0.061988986
sample_016,11,ecg_class_positive,-0.37246008,-1.8574369,0.9076036,0.68344701,0.86012922,-0.060122169
sample_016,12,ecg_class_positive,-0.27912982,-1.9543183,1.0428804,0.64021189,0.72387774,-0.030952939
sample_016,13,ecg_class_positive,-0.94947081,-1.7167091,0.91986476,0.79177879,0.4458859,0.001111159
